tlp_id,seq_num,payload_bytes,tlp_bytes,rc_delay_ns,link_delay_ns,endpoint_delay_ns,replay_delay_ns,total_link_latency_ns
112,112,4,20,20.0,150.0,50.0,0.0,220.0
113,113,4,20,20.0,150.0,50.0,0.0,220.0
114,114,4,20,20.0,150.0,50.0,0.0,220.0
115,115,4,20,20.0,150.0,50.0,0.0,220.0
116,116,4,20,20.0,150.0,50.0,0.0,220.0
117,117,4,20,20.0,150.0,50.0,0.0,220.0
118,118,4,20,20.0,150.0,50.0,0.0,220.0
119,119,4,20,20.0,150.0,50.0,0.0,220.0
120,120,4,20,20.0,150.0,50.0,0.0,220.0
121,121,4,20,20.0,150.0,50.0,0.0,220.0
122,122,4,20,20.0,150.0,50.0,0.0,220.0
123,123,4,20,20.0,150.0,50.0,0.0,220.0
124,124,4,20,20.0,150.0,50.0,0.0,220.0
125,125,4,20,20.0,150.0,50.0,0.0,220.0
126,126,4,20,20.0,150.0,50.0,0.0,220.0
127,127,4,20,20.0,150.0,50.0,0.0,220.0
128,128,4,20,20.0,150.0,50.0,0.0,220.0
129,129,4,20,20.0,150.0,50.0,0.0,220.0
130,130,4,20,20.0,150.0,50.0,0.0,220.0
131,131,4,20,20.0,150.0,50.0,0.0,220.0
132,132,4,20,20.0,150.0,50.0,0.0,220.0
133,133,4,20,20.0,150.0,50.0,0.0,220.0
134,134,4,20,20.0,150.0,50.0,0.0,220.0
135,135,4,20,20.0,150.0,50.0,0.0,220.0
136,136,4,20,20.0,150.0,50.0,0.0,220.0
137,137,4,20,20.0,150.0,50.0,0.0,220.0
138,138,4,20,20.0,150.0,50.0,0.0,220.0
139,139,4,20,20.0,150.0,50.0,0.0,220.0
140,140,4,20,20.0,150.0,50.0,0.0,220.0
141,141,4,20,20.0,150.0,50.0,0.0,220.0
142,142,4,20,20.0,150.0,50.0,0.0,220.0
143,143,4,20,20.0,150.0,50.0,0.0,220.0
144,144,4,20,20.0,150.0,50.0,0.0,220.0
145,145,4,20,20.0,150.0,50.0,0.0,220.0
146,146,4,20,20.0,150.0,50.0,0.0,220.0
147,147,4,20,20.0,150.0,50.0,0.0,220.0
148,148,4,20,20.0,150.0,50.0,0.0,220.0
149,149,4,20,20.0,150.0,50.0,0.0,220.0
150,150,4,20,20.0,150.0,50.0,0.0,220.0
151,151,4,20,20.0,150.0,50.0,0.0,220.0
152,152,4,20,20.0,150.0,50.0,0.0,220.0
153,153,4,20,20.0,150.0,50.0,0.0,220.0
154,154,4,20,20.0,150.0,50.0,0.0,220.0
155,155,4,20,20.0,150.0,50.0,0.0,220.0
156,156,4,20,20.0,150.0,50.0,0.0,220.0
157,157,4,20,20.0,150.0,50.0,0.0,220.0
158,158,4,20,20.0,150.0,50.0,0.0,220.0
159,159,4,20,20.0,150.0,50.0,0.0,220.0
160,160,4,20,20.0,150.0,50.0,0.0,220.0
161,161,4,20,20.0,150.0,50.0,0.0,220.0
162,162,4,20,20.0,150.0,50.0,0.0,220.0
163,163,4,20,20.0,150.0,50.0,0.0,220.0
164,164,4,20,20.0,150.0,50.0,0.0,220.0
165,165,4,20,20.0,150.0,50.0,0.0,220.0
166,166,4,20,20.0,150.0,50.0,0.0,220.0
167,167,4,20,20.0,150.0,50.0,0.0,220.0
168,168,4,20,20.0,150.0,50.0,0.0,220.0
169,169,4,20,20.0,150.0,50.0,0.0,220.0
170,170,4,20,20.0,150.0,50.0,0.0,220.0
171,171,4,20,20.0,150.0,50.0,0.0,220.0
172,172,4,20,20.0,150.0,50.0,0.0,220.0
173,173,4,20,20.0,150.0,50.0,0.0,220.0
174,174,4,20,20.0,150.0,50.0,0.0,220.0
175,175,4,20,20.0,150.0,50.0,0.0,220.0
176,176,4,20,20.0,150.0,50.0,0.0,220.0
177,177,4,20,20.0,150.0,50.0,0.0,220.0
178,178,4,20,20.0,150.0,50.0,0.0,220.0
179,179,4,20,20.0,150.0,50.0,0.0,220.0
180,180,4,20,20.0,150.0,50.0,0.0,220.0
181,181,4,20,20.0,150.0,50.0,0.0,220.0
182,182,4,20,20.0,150.0,50.0,0.0,220.0
183,183,4,20,20.0,150.0,50.0,0.0,220.0
184,184,4,20,20.0,150.0,50.0,0.0,220.0
185,185,4,20,20.0,150.0,50.0,0.0,220.0
186,186,4,20,20.0,150.0,50.0,0.0,220.0
187,187,4,20,20.0,150.0,50.0,0.0,220.0
188,188,4,20,20.0,150.0,50.0,0.0,220.0
189,189,4,20,20.0,150.0,50.0,0.0,220.0
190,190,4,20,20.0,150.0,50.0,0.0,220.0
191,191,4,20,20.0,150.0,50.0,0.0,220.0
192,192,4,20,20.0,150.0,50.0,0.0,220.0
